,avoid,closeatt,distract,forget,instruct,listen,loses,org,susatt,blurts,fidget,interrupt,motor,quiet,runs,seat,talks,turn
avoid,1,0.566420747,0.6485193,0.511735705,0.706220632,0.603079904,0.495609888,0.484351597,0.704227956,0.327925641,0.539025257,0.457354705,0.359194506,0.367242262,0.448304778,0.51205259,0.366702967,0.56669711
closeatt,0.566420747,1,0.473635272,0.42298499,0.604665062,0.475202645,0.426535666,0.455717379,0.581173924,0.314731455,0.483059581,0.343986778,0.286538648,0.319847998,0.409315471,0.412595654,0.322761883,0.425960092
distract,0.6485193,0.473635272,1,0.488440429,0.646479212,0.6231278,0.477227701,0.550568434,0.666829261,0.298305278,0.551504572,0.483282701,0.423186205,0.428722534,0.537181497,0.555092312,0.384032241,0.468294683
forget,0.511735705,0.42298499,0.488440429,1,0.557444046,0.494975898,0.551459865,0.527572698,0.528394896,0.337978149,0.379363676,0.297191852,0.270991034,0.35298411,0.367717996,0.417758995,0.297036113,0.455046494
instruct,0.706220632,0.604665062,0.646479212,0.557444046,1,0.628143327,0.576441085,0.570819614,0.693480003,0.383461942,0.539490086,0.431234085,0.349900575,0.347988573,0.507392162,0.553067219,0.339052721,0.564595389
listen,0.603079904,0.475202645,0.6231278,0.494975898,0.628143327,1,0.509697914,0.59661879,0.630613718,0.362369938,0.542604531,0.527404433,0.409696096,0.382438512,0.531647156,0.577707041,0.390603411,0.55909814
loses,0.495609888,0.426535666,0.477227701,0.551459865,0.576441085,0.509697914,1,0.615489057,0.449661552,0.261396422,0.401533569,0.286202359,0.249980533,0.30375674,0.304146249,0.416566497,0.247249688,0.430677845
org,0.484351597,0.455717379,0.550568434,0.527572698,0.570819614,0.59661879,0.615489057,1,0.497690721,0.278063666,0.425151531,0.365637424,0.272345152,0.344502783,0.368230552,0.408330677,0.288516368,0.390050829
susatt,0.704227956,0.581173924,0.666829261,0.528394896,0.693480003,0.630613718,0.449661552,0.497690721,1,0.420038222,0.62143511,0.475977207,0.424809784,0.461462689,0.528394896,0.643392159,0.420335429,0.582237259
blurts,0.327925641,0.314731455,0.298305278,0.337978149,0.383461942,0.362369938,0.261396422,0.278063666,0.420038222,1,0.377537334,0.499743211,0.324992723,0.359273346,0.379256444,0.384188727,0.388369452,0.436786505
fidget,0.539025257,0.483059581,0.551504572,0.379363676,0.539490086,0.542604531,0.401533569,0.425151531,0.62143511,0.377537334,1,0.476616281,0.595817497,0.422039931,0.54321612,0.590345195,0.361176269,0.535407305
interrupt,0.457354705,0.343986778,0.483282701,0.297191852,0.431234085,0.527404433,0.286202359,0.365637424,0.475977207,0.499743211,0.476616281,1,0.383558799,0.460123278,0.504539,0.483152331,0.423914589,0.513569574
motor,0.359194506,0.286538648,0.423186205,0.270991034,0.349900575,0.409696096,0.249980533,0.272345152,0.424809784,0.324992723,0.595817497,0.383558799,1,0.373398143,0.521226974,0.510542107,0.377666489,0.453473839
quiet,0.367242262,0.319847998,0.428722534,0.35298411,0.347988573,0.382438512,0.30375674,0.344502783,0.461462689,0.359273346,0.422039931,0.460123278,0.373398143,1,0.338404778,0.309117773,0.465178245,0.421983525
runs,0.448304778,0.409315471,0.537181497,0.367717996,0.507392162,0.531647156,0.304146249,0.368230552,0.528394896,0.379256444,0.54321612,0.504539,0.521226974,0.338404778,1,0.67478576,0.36273569,0.468547665
seat,0.51205259,0.412595654,0.555092312,0.417758995,0.553067219,0.577707041,0.416566497,0.408330677,0.643392159,0.384188727,0.590345195,0.483152331,0.510542107,0.309117773,0.67478576,1,0.37389628,0.587135196
talks,0.366702967,0.322761883,0.384032241,0.297036113,0.339052721,0.390603411,0.247249688,0.288516368,0.420335429,0.388369452,0.361176269,0.423914589,0.377666489,0.465178245,0.36273569,0.37389628,1,0.396216827
turn,0.56669711,0.425960092,0.468294683,0.455046494,0.564595389,0.55909814,0.430677845,0.390050829,0.582237259,0.436786505,0.535407305,0.513569574,0.453473839,0.421983525,0.468547665,0.587135196,0.396216827,1
